shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,robotiq_85_left_inner_knuckle_joint,robotiq_85_left_knuckle_joint,robotiq_85_right_inner_knuckle_joint,robotiq_85_right_knuckle_joint,robotiq_85_left_finger_tip_joint,robotiq_85_right_finger_tip_joint
0.844914,-0.987856,0.536689,-1.13289,-1.57184,0.892212,0,0,0,0,0,0
0.860598,-0.996334,0.541489,-1.14649,-1.58542,0.908396,0.000883793,0.000883345,0.000883793,0.000883793,-0.000883793,-0.000883793
0.876269,-1.0048,0.546296,-1.16007,-1.599,0.92457,0.00176639,0.00176549,0.00176639,0.00176639,-0.00176639,-0.00176639
0.891916,-1.01323,0.551113,-1.17364,-1.61257,0.940724,0.00264658,0.00264524,0.00264658,0.00264658,-0.00264658,-0.00264658
0.907527,-1.02163,0.555949,-1.18718,-1.62615,0.956848,0.00352318,0.00352139,0.00352318,0.00352318,-0.00352318,-0.00352318
0.923088,-1.02997,0.560808,-1.20068,-1.63972,0.972933,0.00439498,0.00439275,0.00439498,0.00439498,-0.00439498,-0.00439498
0.938589,-1.03823,0.565696,-1.21415,-1.65329,0.988969,0.00526078,0.00525811,0.00526078,0.00526078,-0.00526078,-0.00526078
0.954016,-1.04642,0.570619,-1.22756,-1.66686,1.00494,0.00611939,0.00611628,0.00611939,0.00611939,-0.00611939,-0.00611939
0.969358,-1.0545,0.575583,-1.24092,-1.68043,1.02085,0.0069696,0.00696606,0.0069696,0.0069696,-0.0069696,-0.0069696
0.984602,-1.06248,0.580593,-1.2542,-1.694,1.03668,0.00781021,0.00780625,0.00781021,0.00781021,-0.00781021,-0.00781021
0.999736,-1.07033,0.585656,-1.26741,-1.70756,1.05242,0.00864003,0.00863565,0.00864003,0.00864003,-0.00864003,-0.00864003
1.01475,-1.07803,0.590778,-1.28054,-1.72112,1.06806,0.00945786,0.00945306,0.00945786,0.00945786,-0.00945786,-0.00945786
1.02963,-1.08559,0.595963,-1.29357,-1.73468,1.08359,0.0102625,0.0102573,0.0102625,0.0102625,-0.0102625,-0.0102625
1.04436,-1.09298,0.601219,-1.3065,-1.74823,1.09901,0.0110527,0.0110471,0.0110527,0.0110527,-0.0110527,-0.0110527
1.05893,-1.10018,0.60655,-1.31932,-1.76178,1.11429,0.0118274,0.0118214,0.0118274,0.0118274,-0.0118274,-0.0118274
1.07333,-1.10719,0.611963,-1.33202,-1.77532,1.12944,0.0125852,0.0125788,0.0125852,0.0125852,-0.0125852,-0.0125852
1.08755,-1.11399,0.617464,-1.34459,-1.78886,1.14444,0.0133251,0.0133183,0.0133251,0.0133251,-0.0133251,-0.0133251
1.10157,-1.12056,0.623058,-1.35703,-1.8024,1.15929,0.0140458,0.0140386,0.0140458,0.0140458,-0.0140458,-0.0140458
1.11539,-1.1269,0.628751,-1.36932,-1.81593,1.17396,0.014746,0.0147386,0.014746,0.014746,-0.014746,-0.014746
1.12898,-1.13298,0.63455,-1.38147,-1.82945,1.18846,0.0154247,0.0154169,0.0154247,0.0154247,-0.0154247,-0.0154247
1.14235,-1.1388,0.640459,-1.39344,-1.84297,1.20277,0.0160806,0.0160725,0.0160806,0.0160806,-0.0160806,-0.0160806
1.15546,-1.14434,0.646485,-1.40525,-1.85648,1.21688,0.0167126,0.0167041,0.0167126,0.0167126,-0.0167126,-0.0167126
1.16833,-1.14959,0.652633,-1.41688,-1.86999,1.23078,0.0173193,0.0173105,0.0173193,0.0173193,-0.0173193,-0.0173193
1.18092,-1.15452,0.65891,-1.42833,-1.88349,1.24447,0.0178996,0.0178906,0.0178996,0.0178996,-0.0178996,-0.0178996
1.19323,-1.15914,0.665321,-1.43958,-1.89698,1.25793,0.0184524,0.018443,0.0184524,0.0184524,-0.0184524,-0.0184524
1.20525,-1.16342,0.671872,-1.45062,-1.91047,1.27116,0.0189764,0.0189667,0.0189764,0.0189764,-0.0189764,-0.0189764
1.21697,-1.16735,0.678569,-1.46146,-1.92394,1.28414,0.0194703,0.0194605,0.0194703,0.0194703,-0.0194703,-0.0194703
1.22837,-1.17091,0.685417,-1.47207,-1.93741,1.29686,0.0199331,0.019923,0.0199331,0.0199331,-0.0199331,-0.0199331
1.23943,-1.1741,0.692423,-1.48245,-1.95088,1.30932,0.0203636,0.0203532,0.0203636,0.0203636,-0.0203636,-0.0203636
