base_link-base_fixed_joint,base_link-base_link_inertia,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,wrist_3-flange,wrist_3_link-ft_frame,flange-tool0,ur_to_robotiq_joint,gripper_side_joint,robotiq_85_base_joint,robotiq_85_left_inner_knuckle_joint,robotiq_85_left_knuckle_joint,robotiq_85_right_inner_knuckle_joint,robotiq_85_right_knuckle_joint,robotiq_85_left_finger_tip_joint,robotiq_85_left_finger_joint,robotiq_85_right_finger_tip_joint,robotiq_85_right_finger_joint
0,0,0.84446,-0.987717,0.536584,-1.13349,-1.57205,0.795451,0,0,0,0,0,0,0.271434,0.271296,0.271434,0.271434,-0.271434,0,-0.271434,0
0,0,0.869504,-0.986097,0.579987,-1.1673,-1.63148,0.840807,0,0,0,0,0,0,0.271915,0.271777,0.271915,0.271915,-0.271915,0,-0.271915,0
0,0,0.894548,-0.984477,0.62339,-1.20112,-1.69091,0.886162,0,0,0,0,0,0,0.272396,0.272258,0.272396,0.272396,-0.272396,0,-0.272396,0
0,0,0.919593,-0.982856,0.666793,-1.23493,-1.75033,0.931517,0,0,0,0,0,0,0.272877,0.272738,0.272877,0.272877,-0.272877,0,-0.272877,0
0,0,0.944637,-0.981236,0.710196,-1.26875,-1.80976,0.976873,0,0,0,0,0,0,0.273358,0.273219,0.273358,0.273358,-0.273358,0,-0.273358,0
0,0,0.969681,-0.979616,0.753599,-1.30256,-1.86918,1.02223,0,0,0,0,0,0,0.273839,0.2737,0.273839,0.273839,-0.273839,0,-0.273839,0
0,0,0.994725,-0.977996,0.797002,-1.33638,-1.92861,1.06758,0,0,0,0,0,0,0.27432,0.274181,0.27432,0.27432,-0.27432,0,-0.27432,0
0,0,1.01977,-0.976376,0.840405,-1.37019,-1.98804,1.11294,0,0,0,0,0,0,0.274801,0.274661,0.274801,0.274801,-0.274801,0,-0.274801,0
0,0,1.04481,-0.974756,0.883808,-1.404,-2.04746,1.15829,0,0,0,0,0,0,0.275282,0.275142,0.275282,0.275282,-0.275282,0,-0.275282,0
0,0,1.06986,-0.973136,0.92721,-1.43782,-2.10689,1.20365,0,0,0,0,0,0,0.275763,0.275623,0.275763,0.275763,-0.275763,0,-0.275763,0
0,0,1.0949,-0.971516,0.970613,-1.47163,-2.16632,1.249,0,0,0,0,0,0,0.276244,0.276104,0.276244,0.276244,-0.276244,0,-0.276244,0
0,0,1.11995,-0.969896,1.01402,-1.50545,-2.22574,1.29436,0,0,0,0,0,0,0.276725,0.276584,0.276725,0.276725,-0.276725,0,-0.276725,0
0,0,1.14499,-0.968276,1.05742,-1.53926,-2.28517,1.33972,0,0,0,0,0,0,0.277206,0.277065,0.277206,0.277206,-0.277206,0,-0.277206,0
0,0,1.17003,-0.966655,1.10082,-1.57308,-2.34459,1.38507,0,0,0,0,0,0,0.277687,0.277546,0.277687,0.277687,-0.277687,0,-0.277687,0
0,0,1.19508,-0.965035,1.14423,-1.60689,-2.40402,1.43043,0,0,0,0,0,0,0.278168,0.278027,0.278168,0.278168,-0.278168,0,-0.278168,0
0,0,1.22943,-0.949542,1.18014,-1.63719,-2.46161,1.4704,0,0,0,0,0,0,0.277607,0.277466,0.277607,0.277607,-0.277607,0,-0.277607,0
0,0,1.26377,-0.934049,1.21605,-1.66748,-2.5192,1.51037,0,0,0,0,0,0,0.277045,0.276905,0.277045,0.277045,-0.277045,0,-0.277045,0
0,0,1.29812,-0.918555,1.25197,-1.69777,-2.57679,1.55034,0,0,0,0,0,0,0.276484,0.276344,0.276484,0.276484,-0.276484,0,-0.276484,0
0,0,1.33247,-0.903062,1.28788,-1.72806,-2.63438,1.59031,0,0,0,0,0,0,0.275923,0.275783,0.275923,0.275923,-0.275923,0,-0.275923,0
0,0,1.36681,-0.887569,1.3238,-1.75836,-2.69197,1.63029,0,0,0,0,0,0,0.275362,0.275222,0.275362,0.275362,-0.275362,0,-0.275362,0
0,0,1.40116,-0.872075,1.35971,-1.78865,-2.74956,1.67026,0,0,0,0,0,0,0.274801,0.274661,0.274801,0.274801,-0.274801,0,-0.274801,0
0,0,1.43551,-0.856582,1.39562,-1.81894,-2.80715,1.71023,0,0,0,0,0,0,0.27424,0.2741,0.27424,0.27424,-0.27424,0,-0.27424,0
0,0,1.46985,-0.841088,1.43154,-1.84924,-2.86474,1.7502,0,0,0,0,0,0,0.273678,0.27354,0.273678,0.273678,-0.273678,0,-0.273678,0
0,0,1.5042,-0.825595,1.46745,-1.87953,-2.92233,1.79017,0,0,0,0,0,0,0.273117,0.272979,0.273117,0.273117,-0.273117,0,-0.273117,0
0,0,1.53855,-0.810102,1.50337,-1.90982,-2.97992,1.83014,0,0,0,0,0,0,0.272556,0.272418,0.272556,0.272556,-0.272556,0,-0.272556,0
0,0,1.57289,-0.794608,1.53928,-1.94011,-3.03751,1.87012,0,0,0,0,0,0,0.271995,0.271857,0.271995,0.271995,-0.271995,0,-0.271995,0
0,0,1.60724,-0.779115,1.57519,-1.97041,-3.0951,1.91009,0,0,0,0,0,0,0.271434,0.271296,0.271434,0.271434,-0.271434,0,-0.271434,0
